sonar_issues,sonar_critical_issues,sonar_major_issues,sonar_minor_issues,sonar_files_processed
505,36,154,308,359
72,35,11,26,52
459,47,211,194,423
112,22,52,35,215
122,14,84,24,168
122,14,84,24,168
122,14,84,24,168
122,14,84,24,168
36,3,17,16,59
326,73,88,165,142
12,2,9,1,509
156,20,81,36,82
17233,1533,6122,9192,1200
17233,1533,6122,9192,1200
2581,712,1017,772,1165
156,18,61,76,118
98,8,37,50,95
98,8,37,50,92
154,10,62,53,81
6545,1750,2211,2540,4759
553,70,148,334,487
200,41,76,77,54
2744,553,969,1040,1195
859,130,254,462,683
81,8,24,48,98
735,176,257,298,82
267,30,85,150,134
714,87,228,381,294
166,21,61,84,123
3009,534,1071,1310,589
3090,314,1222,1478,222
1356,152,671,521,1444
851,179,164,493,194
472,71,129,256,199
619,112,340,161,115
525,79,161,282,360
88,14,38,33,55
2926,656,695,1571,1164
307,47,109,147,271
157,16,46,92,84
842,239,391,202,535
23,1,3,17,34
2378,361,1041,931,892
60,19,14,27,51
215,30,63,110,217
535,104,345,80,589
23,1,4,18,1010
2180,275,615,1273,1242
132,39,55,38,56
1032,212,114,702,317
5019,644,1315,2953,462
375,73,76,199,92
4727,821,1394,2276,1064
22,5,9,8,144
394,61,96,231,432
268,68,84,100,187
2074,370,778,899,601
1031,272,382,359,429
2408,411,1161,811,385
185,45,59,75,82
634,110,224,280,456
132,40,28,63,183
1638,363,392,865,473
261,45,89,126,115
26113,4166,8557,13175,5424
52,1,17,34,67
124,7,45,70,189
68,7,30,28,229
77,10,14,46,34
676,151,196,314,178
777,14,665,97,442
684,120,249,283,189
543,90,183,256,258
138,10,10,118,204
3000,827,1348,774,547
2352,410,985,920,424
705,127,258,309,137
250,49,75,125,82
111,10,36,65,88
153,24,56,73,150
1482,422,449,557,861
74,12,10,52,79
368,57,152,147,126
403,109,115,165,180
29,7,6,14,34
26,3,13,7,33
288,47,55,186,370
186,22,123,38,723
442,56,162,215,1032
1008,165,380,449,296
261,23,92,142,119
78,12,17,47,49
1606,296,293,1005,936
154,21,67,51,121
2115,265,875,962,2330
2857,439,1183,1089,568
291,64,94,119,253
162,21,79,59,126
16823,1748,4951,9328,3790
1819,498,870,372,862
153,31,44,78,23
205,43,88,63,86
96,13,25,58,49
169,32,49,83,330
676,138,209,328,293
153,4,93,56,3439
106,12,70,22,156
1699,288,505,891,603
314,56,49,199,112
161,13,54,93,60
40,7,10,22,49
554,167,186,200,131
29,2,9,18,100
1844,477,970,381,1985
140,26,69,45,95
260,55,91,105,205
846,157,321,353,493
846,157,321,353,493
306,51,130,119,196
78,18,37,23,71
96,16,64,15,188
629,117,276,180,248
938,162,414,348,490
138,19,31,86,150
91,25,23,39,176
26274,8021,6172,11807,6437
162,26,67,68,60
2637,527,971,1068,918
153,19,42,84,115
4159,719,977,2366,559
1524,240,470,788,799
524,36,141,333,133
1361,267,296,725,766
7242,1665,2364,3080,848
154,37,27,78,328
199,26,55,112,75
306,34,87,184,93
1102,95,644,350,798
176,21,65,85,82
133,11,38,84,138
4956,669,1603,2535,470
290,97,81,97,268
189,13,75,93,92
61,23,12,26,75
927,128,336,445,239
890,85,184,619,461
1479,251,525,670,784
1362,204,865,182,193
288,63,120,104,101
30,6,15,9,32
1568,354,547,649,570
26,3,17,6,46
1075,148,365,553,305
17,2,6,9,59
3783,576,1652,1415,688
1248,124,775,316,517
1288,291,412,552,587
207,55,64,82,54
8402,648,2342,5238,274
46,5,19,21,71
214,19,65,125,41
1030,256,424,336,433
866,222,272,352,430
325,53,137,119,133
449,76,179,184,667
1068,95,397,564,164
2264,551,935,609,1030
144,48,60,34,619
395,129,129,112,507
105,16,40,42,63
250,51,158,40,260
89,22,30,33,80
